,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_host_rel_prob_err,pp_host_prob_score,pp_unk_rel_prob_err,pp_2hi_rel_prob_err,pp_1hi_rel_prob_err,pp_host_prior_prob,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_dv_run_id,pp_host_rel_prob,pp_2hi_prob_prov,pp_bkgd_density,pp_1hi_dec,pp_2hi_mod_depth,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag
K03603.01,PROB,KIC 5730394,1.0,,1.476e-05,298.0619,2035610.0,,0.043,0.76,5.548e-07,,0.043,0.68,131.7083,,2.76,KIC,dr25,1.0,,4.111e-05,40.9573,,170476.0,,16.12,
K03604.01,PROB,KIC 6956216,1.0,6.4e-102,8.656e-07,294.0878,762371.0,KIC 6956215,0.0041,0.82,3.108e-09,2.3e-104,0.0041,0.79,131.6778,42.4931,4.82,KIC,dr25,1.0,KIC,1.352e-05,42.4897,1877296.0,65088.0,294.0877,14.55,15.54
K03605.01,PROB,KIC 6137704,1.0,,9.859e-06,295.8384,185393.0,,0.042,1.0,3.55e-07,,0.042,0.75,255.351,,178.27,KIC,dr25,1.0,,1.559e-05,41.4273,,45367.0,,14.16,
K03606.01,PROB,KIC 10275074,1.3e-95,,1.0,292.2677,850025.0,,1.8e-109,1.0,1.414e-14,,1.8e-109,0.87,133.482,,2.18,KIC,dr25,1.3e-95,,7.777e-06,47.3948,,84812.0,,14.18,
K03607.01,FAILED,,,,,,,,,0.0,,,,0.76,,,,,dr25,,,,,,,,,
K03608.01,PROB,KIC 10259301,1.0,,2.111e-07,284.8153,103372.0,,0.018,1.0,3.259e-09,,0.018,0.93,285.7027,,244.83,KIC,dr25,1.0,,4.234e-06,47.3926,,40222.0,,13.56,
K03609.01,FAILED,,,,,,,,,0.0,,,,0.67,,,,,dr25,,,,,,,,,
K03610.01,PROB,KIC 7212066,1.0,,1.682e-05,295.2117,362033.0,,0.039,0.72,5.697e-07,,0.039,0.78,134.4477,,3.84,KIC,dr25,1.0,,1.879e-05,42.7863,,39578.0,,15.26,
K03610.02,FAILED,,,,,,,,,0.0,,,,0.78,,,,,dr25,,,,,,,,,
K03611.01,PROB,KIC 6675060,1.0,,0.0001855,286.2449,1570617.0,,0.065,0.63,1.051e-05,,0.065,0.89,133.6288,,10.44,KIC,dr25,1.0,,1.287e-05,42.1464,,145440.0,,16.51,
K03612.01,PROB,,,,0.0001223,,,,0.04,0.97,4.187e-06,,,0.93,136.2153,,19.52,,dr25,1.0,,1.006e-05,,,253470.0,,,
K03613.01,FAILED,,,,,,,,,0.0,,,,0.7,,,,,dr25,,,,,,,,,
K03614.01,PROB,KIC 9886224,1.0,,1.563e-06,289.8569,1274842.0,,0.012,0.39,1.593e-08,,0.012,0.89,131.8912,,2.99,KIC,dr25,1.0,,1.294e-05,46.7899,,113501.0,,16.33,
K03615.01,MATCH,KIC 3735634,1.3e-95,,1.0,287.9896,66521.0,,1.8e-109,0.95,1.414e-14,,1.8e-109,0.85,133.6693,,4.66,KIC,dr25,1.3e-95,,7.96e-06,38.8904,,7073.0,,13.91,
K03616.01,PROB,KIC 6058875,1.0,,7.064e-06,296.3704,2394566.0,,0.021,0.46,1.274e-07,,0.021,0.73,131.7886,,0.56,KIC,dr25,1.0,,2.939e-05,41.3905,,239143.0,,15.84,
K03617.01,PROB,KIC 10735564,1.0,,0.0006798,293.5744,2380394.0,,0.12,0.56,7.032e-05,,0.12,0.86,131.7919,,1.67,KIC,dr25,1.0,,9.247e-06,48.0074,,199239.0,,14.57,
K03618.01,FAILED,,,,,,,,,0.0,,,,0.92,,,,,dr25,,,,,,,,,
K03619.01,PROB,KIC 8095099,1.0,8.6e-28,6.059e-06,290.9106,2194942.0,KIC 8095110,2.1e-27,1.0,1.871e-07,2.1e-27,0.036,0.85,132.8673,43.9299,2.1,KIC,dr25,8.6e-28,KIC,6.665e-06,43.9295,194704.0,21190.0,290.9125,14.17,13.17
K03620.01,PROB,KIC 11499263,1.0,,5.885e-07,287.4051,347816.0,,0.0078,1.0,3.991e-09,,0.0078,0.92,167.6985,,46.7,KIC,dr25,1.0,,7.374e-06,49.4563,,54118.0,,15.27,
K03621.01,PROB,KIC 9775253,1.0,,1.575e-05,293.7974,1704145.0,,1.6e-19,1.0,1.575e-19,,1.6e-19,0.84,133.6152,,4.39,KIC,dr25,1.0,,2.003e-05,46.5618,,129253.0,,16.7,
K03622.01,PROB,KIC 6677264,1.0,1.2e-101,5.957e-07,287.151,1101585.0,KIC 6677260,1.6e-103,1.0,8.119e-09,1.6e-103,0.016,0.88,134.477,42.1107,3.13,KIC,dr25,1.2e-101,KIC,4.949e-06,42.1085,1732452.0,4068.0,287.1503,14.85,17.27
K03623.01,PROB,KIC 7732791,1.0,,5.175e-07,282.5534,942611.0,,0.00081,1.0,3.625e-10,,0.00081,0.93,131.8351,,1.03,KIC,dr25,1.0,,8.952e-06,43.4174,,121437.0,,16.18,
K03624.01,PROB,KIC 8177798,1.0,,6.801e-07,295.8169,228925.0,,2.1e-20,1.0,6.801e-21,,2.1e-20,0.78,131.9854,,1.45,KIC,dr25,1.0,,1.209e-05,44.0057,,28455.0,,13.91,
K03625.01,FAILED,,,,,,,,,0.0,,,,0.79,,,,,dr25,,,,,,,,,
K03626.01,FAILED,,,,,,,,,0.0,,,,0.92,,,,,dr25,,,,,,,,,
K03627.01,PROB,KIC 10091110,1.0,,2.541e-06,297.4663,215996.0,,0.02,1.0,4.41e-08,,0.02,0.79,133.5066,,4.22,KIC,dr25,1.0,,1.69e-05,47.0232,,23324.0,,15.23,
K03627.02,PROB,KIC 10091110,1.0,,1.392e-06,297.4663,204374.0,,0.011,1.0,1.381e-08,,0.011,0.79,137.6548,,8.53,KIC,dr25,1.0,,1.69e-05,47.0232,,19780.0,,15.23,
K03628.01,MATCH,,,,,,,,0.0,1.0,,,,0.81,,,,,dr25,0.0,,,,,,,,
K03629.01,FAILED,,,,,,,,,0.0,,,,0.8,,,,,dr25,,,,,,,,,
K03630.01,FAILED,,,,,,,,,0.0,,,,0.93,,,,,dr25,,,,,,,,,
K03631.01,FAILED,,,,,,,,,0.0,,,,0.84,,,,,dr25,,,,,,,,,
K03632.01,MATCH,,,,,,,,0.0,1.0,,,,0.82,,,,,dr25,0.0,,,,,,,,
K03633.01,FPWG,,,,,,,,0.0,1.0,,,,0.91,,,,,dr25,0.0,,,,,,,,
K03634.01,PROB,KIC 6363494,1.0,,3.319e-06,291.635,157765.0,,5.6e-16,1.0,3.322e-20,,5.6e-16,0.83,131.9113,,0.91,KIC,dr25,1.0,,1.079e-05,41.7657,,60134.0,,14.42,
K03635.01,MATCH,,,,,,,,0.0,1.0,,,,0.86,,,,,dr25,0.0,,,,,,,,
K03636.01,FAILED,,,,,,,,,0.0,,,,0.66,,,,,dr25,,,,,,,,,
K03637.01,FPWG,,,,,,,,0.0,1.0,,,,0.77,,,,,dr25,0.0,,,,,,,,
K03638.01,FAILED,,,,,,,,,0.0,,,,0.83,,,,,dr25,,,,,,,,,
K03639.01,PROB,KIC 10491554,1.0,0.0,2.287e-06,298.9133,1860972.0,KIC 10491544,2.8e-103,1.0,3.178e-08,2.8e-103,0.016,0.78,140.4879,47.6583,22.77,KIC,dr25,0.0,KIC,1.118e-05,47.6579,346200.0,36893.0,298.9116,15.02,13.44
K03640.01,PROB,KIC 8052474,1.0,1.2e-102,1.709e-07,298.7836,18386.0,KIC 8052477,3.6e-16,1.0,1.71e-21,3.8e-118,3.6e-16,0.72,361.3029,43.8559,245.44,KIC,dr25,1.0,KIC,1.387e-05,43.8548,896245.0,11259.0,298.7845,12.78,16.51
K03641.01,PROB,KIC 3534118,1.0,4.3e-102,3.599e-07,288.3278,98505.0,KIC 3534124,0.0068,0.87,2.112e-09,2.5e-104,0.0068,0.85,218.2252,38.6258,178.41,KIC,dr25,1.0,KIC,8.385e-06,38.6276,2876421.0,36523.0,288.3294,13.94,16.68
K03641.02,PROB,KIC 3534124,0.66,0.34,0.0003989,288.3294,13997.0,KIC 3534118,4.5e-17,0.01,3.989e-18,4.5e-17,2.8e-17,0.85,217.747,38.6276,178.42,KIC,dr25,0.34,KIC,8.385e-06,38.6258,210.0,265.0,288.3278,16.68,13.94
K03642.01,PROB,KIC 2441161,1.0,,0.0004752,290.9384,1187664.0,,0.039,0.04,1.589e-05,,0.039,0.79,132.2161,,2.19,KIC,dr25,1.0,,2.705e-05,37.7012,,112141.0,,16.65,
K03643.01,FAILED,,,,,,,,,0.0,,,,0.81,,,,,dr25,,,,,,,,,
K03644.01,PROB,KIC 12216706,1.0,,6.031e-05,295.7438,530587.0,,6.5e-16,1.0,6.04e-19,,6.5e-16,0.86,132.279,,1.47,KIC,dr25,1.0,,1.06e-05,50.8309,,171742.0,,15.01,
K03644.02,FAILED,,,,,,,,,0.0,,,,0.86,,,,,dr25,,,,,,,,,
K03645.01,FAILED,,,,,,,,,0.0,,,,0.68,,,,,dr25,,,,,,,,,
K03646.01,PROB,KIC 6531496,1.0,,7.136e-05,294.5905,804543.0,,0.038,0.03,2.318e-06,,0.038,0.78,135.2215,,14.32,KIC,dr25,1.0,,2.51e-05,41.9465,,65757.0,,16.09,
K03646.02,FAILED,,,,,,,,,0.0,,,,0.78,,,,,dr25,,,,,,,,,
K03647.01,PROB,KIC 9661869,0.88,,0.1182,296.6571,1575240.0,,0.11,1.0,0.01231,,0.11,0.8,135.8635,,20.43,KIC,dr25,0.88,,2.626e-05,46.3805,,117588.0,,16.68,
K03648.01,FAILED,,,,,,,,,0.0,,,,0.88,,,,,dr25,,,,,,,,,
K03649.01,FPWG,,,,,,,,0.0,1.0,,,,0.69,,,,,dr25,0.0,,,,,,,,
K03650.01,PROB,KIC 6227560,1.0,,2.615e-06,297.7585,207775.0,,0.0072,1.0,1.641e-08,,0.0072,0.7,133.7111,,2.4,KIC,dr25,1.0,,3.527e-05,41.5136,,16690.0,,15.93,
K03651.01,FAILED,,,,,,,,,0.0,,,,0.86,,,,,dr25,,,,,,,,,
K03652.01,FAILED,,,,,,,,,0.0,,,,0.73,,,,,dr25,,,,,,,,,
K03653.01,FAILED,,,,,,,,,0.0,,,,0.71,,,,,dr25,,,,,,,,,
K03654.01,FAILED,,,,,,,,,0.0,,,,0.77,,,,,dr25,,,,,,,,,
K03655.01,FAILED,,,,,,,,,0.0,,,,0.68,,,,,dr25,,,,,,,,,
K03656.01,FAILED,,,,,,,,,0.0,,,,0.68,,,,,dr25,,,,,,,,,
K03657.01,FAILED,,,,,,,,,0.0,,,,0.71,,,,,dr25,,,,,,,,,
K03658.01,PROB,KIC 1575690,0.62,0.38,0.0001364,291.8819,248385.0,UKIRT 44117921572420,0.029,0.21,5.209e-06,0.018,0.029,0.77,132.4414,37.1895,1.13,KIC,dr25,0.62,UKIRT,2.258e-05,37.1891,2430230.0,24978.0,291.8831,15.62,18.19
K03659.01,FAILED,,,,,,,,,0.0,,,,0.7,,,,,dr25,,,,,,,,,
K03660.01,PROB,KIC 5103998,1.0,3e-14,0.0001939,293.1577,469823.0,hiresKIC 22000199,0.055,1.0,9.265e-06,4.3e-15,0.055,0.78,172.4725,40.2626,174.77,KIC,dr25,1.0,hiresKIC,2.02e-05,40.2627,1009187.0,67495.0,293.1577,15.55,16.6
K03661.01,PROB,KIC 7910146,9.9e-11,4.4e-96,1.0,297.6438,393947.0,KIC 7910148,3.4e-106,1.0,7.699e-11,3.4e-106,7.7e-11,0.74,134.3025,43.6322,4.25,KIC,dr25,4.4e-96,KIC,2.288e-05,43.6311,50833.0,3948.0,297.6444,15.97,15.29
K03662.01,FAILED,,,,,,,,,0.0,,,,0.9,,,,,dr25,,,,,,,,,
K03663.01,PROB,KIC 12735740,1.0,1.5e-104,5.738e-10,289.7636,9790.0,KIC 12735744,0.012,1.0,6.01e-12,1.6e-106,0.012,0.91,363.0716,51.9635,282.53,KIC,dr25,1.0,KIC,3.779e-06,51.9626,987222.0,9750.0,289.7658,12.62,17.31
K03664.01,FAILED,,,,,,,,,0.0,,,,0.68,,,,,dr25,,,,,,,,,
K03665.01,FAILED,,,,,,,,,0.0,,,,0.88,,,,,dr25,,,,,,,,,
K03666.01,PROB,KIC 7708193,1.0,,3.775e-05,298.9973,1125639.0,,0.035,0.74,1.13e-06,,0.035,0.71,134.8172,,7.94,KIC,dr25,1.0,,3.512e-05,43.3989,,87756.0,,15.99,
K03667.01,MATCH,,,,,,,,0.0,1.0,,,,0.83,,,,,dr25,0.0,,,,,,,,
K03668.01,MATCH,KIC 8589731,6.1e-18,,1.0,300.7826,23810.0,,8.2e-18,1.0,1.414e-14,,8.2e-18,0.69,133.0118,,4.47,KIC,dr25,6.1e-18,,1.689e-05,44.655,,2850.0,,13.25,
K03669.01,FPWG,,,,,,,,0.0,1.0,,,,0.84,,,,,dr25,0.0,,,,,,,,
K03670.01,PROB,hiresKIC 22000009,1.0,1.3e-38,9.815e-07,293.094,874019.0,KIC 2167890,6.6e-54,1.0,9.827e-21,6.6e-54,5.8e-16,0.75,133.0414,37.5145,2.65,hiresKIC,dr25,1.3e-38,KIC,1.235e-05,37.5143,130698.0,12409.0,293.0936,14.96,12.86
K03671.01,FAILED,,,,,,,,,0.0,,,,0.95,,,,,dr25,,,,,,,,,
K03672.01,FAILED,,,,,,,,,0.0,,,,0.83,,,,,dr25,,,,,,,,,
K03673.01,FAILED,,,,,,,,,0.0,,,,0.88,,,,,dr25,,,,,,,,,
K03674.01,PROB,KIC 2446623,1.0,,1.573e-06,292.1653,181054.0,,0.006,1.0,8.164e-09,,0.006,0.77,179.0439,,175.07,KIC,dr25,1.0,,2.226e-05,37.794,,45295.0,,15.62,
K03675.01,PROB,KIC 9596089,0.00019,,0.9998,294.9622,1747120.0,,2.7e-18,0.54,1.414e-14,,2.7e-18,0.82,133.5121,,20.84,KIC,dr25,0.00019,,2.202e-05,46.2256,,177253.0,,16.58,
K03676.01,FAILED,,,,,,,,,0.0,,,,0.64,,,,,dr25,,,,,,,,,
K03677.01,PROB,KIC 3340313,1.0,,0.0004102,290.964,957875.0,,0.054,0.93,1.932e-05,,0.054,0.8,143.3487,,30.55,KIC,dr25,1.0,,2.278e-05,38.4695,,63060.0,,16.25,
K03678.01,PROB,KIC 4150804,1.0,5.3e-102,4.023e-07,289.7916,19253.0,KIC 4150789,0.0083,1.0,2.894e-09,3.8e-104,0.0083,0.83,277.5062,39.2845,160.88,KIC,dr25,1.0,KIC,7.54e-06,39.2853,2701162.0,7609.0,289.7875,12.89,18.3
K03679.01,FAILED,,,,,,,,,0.0,,,,0.75,,,,,dr25,,,,,,,,,
K03680.01,PROB,KIC 9025971,1.0,,6.644e-09,293.2816,19398.0,,0.0019,1.0,1.109e-11,,0.0019,0.84,256.205,,141.24,KIC,dr25,1.0,,1.04e-05,45.3097,,13055.0,,14.52,
K03681.01,PROB,KIC 2581316,1.0,7.9e-102,7.922e-07,292.6275,1081.0,UKIRT 44117921331259,0.013,1.0,9.123e-09,9.1e-104,0.013,0.76,238.8199,37.8623,217.83,KIC,dr25,1.0,UKIRT,9.986e-06,37.8601,2785585.0,9196.0,292.6265,11.69,20.22
K03681.02,PROB,KIC 2581316,0.97,0.027,0.0001259,292.6275,509.0,UKIRT 44117921331259,0.038,0.95,4.265e-06,0.0026,0.038,0.76,134.5707,37.8623,10.51,KIC,dr25,0.97,UKIRT,9.986e-06,37.8601,1863669.0,78.0,292.6265,11.69,20.22
K03682.01,FAILED,,,,,,,,,0.0,,,,0.87,,,,,dr25,,,,,,,,,
K03683.01,PROB,KIC 10795103,1.0,1.1e-102,4.654e-08,290.9739,955.0,UKIRT 44117905859274,2e-20,1.0,4.654e-22,2.1e-122,2e-20,0.88,336.3302,48.1791,214.31,KIC,dr25,1.0,UKIRT,4.349e-06,48.1782,484349.0,4560.0,290.9751,12.04,17.97
K03684.01,PROB,KIC 9394601,1.0,,2.19e-07,287.1531,1186652.0,,0.00075,1.0,1.417e-10,,0.00075,0.9,132.056,,0.88,KIC,dr25,1.0,,3.797e-06,45.9838,,117056.0,,12.29,
K03685.01,PROB,KIC 8494410,1.0,,3.072e-08,291.4946,42494.0,,0.0032,1.0,8.404e-11,,0.0032,0.85,273.6925,,208.87,KIC,dr25,1.0,,9.212e-06,44.5235,,21258.0,,14.46,
K03685.02,PROB,KIC 8494410,1.0,,1.278e-05,291.4946,1525.0,,0.012,1.0,1.294e-07,,0.012,0.85,131.7102,,7.26,KIC,dr25,1.0,,9.212e-06,44.5235,,256.0,,14.46,
K03686.01,FAILED,,,,,,,,,0.0,,,,0.82,,,,,dr25,,,,,,,,,
K03687.01,FPWG,,,,,,,,0.0,1.0,,,,0.74,,,,,dr25,0.0,,,,,,,,
K03688.01,FAILED,,,,,,,,,0.0,,,,0.76,,,,,dr25,,,,,,,,,
K03689.01,PROB,KIC 7017372,0.0071,,0.9929,285.9718,78449.0,,1e-16,1.0,1.399e-14,,1e-16,0.9,136.0242,,5.24,KIC,dr25,0.0071,,5.924e-06,42.5457,,8514.0,,14.01,
K03690.01,PROB,KIC 9715939,1.0,,1.133e-06,294.1699,169758.0,,0.0038,1.0,3.749e-09,,0.0038,0.84,141.6107,,12.89,KIC,dr25,1.0,,1.444e-05,46.4253,,15868.0,,15.52,
K03691.01,FAILED,,,,,,,,,0.0,,,,0.78,,,,,dr25,,,,,,,,,
K03691.02,FAILED,,,,,,,,,0.0,,,,0.78,,,,,dr25,,,,,,,,,
K03692.01,FAILED,,,,,,,,,0.0,,,,0.67,,,,,dr25,,,,,,,,,
K03693.01,MATCH,,,,,,,,0.0,1.0,,,,0.77,,,,,dr25,0.0,,,,,,,,
K03694.01,FAILED,,,,,,,,,0.0,,,,0.84,,,,,dr25,,,,,,,,,
K03695.01,PROB,KIC 8043052,1.0,,3.104e-06,296.4682,63441.0,,0.012,1.0,3.164e-08,,0.012,0.77,133.4606,,2.24,KIC,dr25,1.0,,1.647e-05,43.8015,,7586.0,,14.73,
K03696.01,PROB,KIC 5435816,1.0,,9.494e-07,287.6238,122891.0,,0.01,1.0,8.555e-09,,0.01,0.87,251.8778,,181.85,KIC,dr25,1.0,,1.201e-05,40.6055,,27217.0,,15.68,
K03697.01,PROB,KIC 8559589,1.0,,1.044e-08,291.6347,17025.0,,0.018,1.0,1.638e-10,,0.018,0.85,140.9491,,223.11,KIC,dr25,1.0,,9.041e-06,44.6476,,11397.0,,14.38,
K03698.01,FAILED,,,,,,,,,0.0,,,,0.76,,,,,dr25,,,,,,,,,
K03699.01,FAILED,,,,,,,,,0.0,,,,0.81,,,,,dr25,,,,,,,,,
K03700.01,FAILED,,,,,,,,,0.0,,,,0.86,,,,,dr25,,,,,,,,,
K03701.01,MATCH,KIC 6470521,5e-96,,1.0,299.0243,70815.0,,7.1e-110,0.93,1.414e-14,,7.1e-110,0.68,131.8265,,2.08,KIC,dr25,5e-96,,1.98e-05,41.8237,,6969.0,,13.86,
K03702.01,FPWG,,,,,,,,0.0,1.0,,,,0.76,,,,,dr25,0.0,,,,,,,,
K03703.01,FAILED,,,,,,,,,0.0,,,,0.64,,,,,dr25,,,,,,,,,
K03704.01,FAILED,,,,,,,,,0.0,,,,0.81,,,,,dr25,,,,,,,,,
K03705.01,FAILED,,,,,,,,,0.0,,,,0.68,,,,,dr25,,,,,,,,,
K03706.01,PROB,,,,9.824e-07,,,,0.00022,1.0,1.9e-10,,,0.75,132.4516,,1.16,,dr25,1.0,,1.748e-05,,,777246.0,,,
K03707.01,FAILED,,,,,,,,,0.0,,,,0.64,,,,,dr25,,,,,,,,,
K03708.01,FAILED,,,,,,,,,0.0,,,,0.67,,,,,dr25,,,,,,,,,
K03709.01,PROB,KIC 2576107,1.0,1.8e-11,1.502e-05,291.5231,101660.0,UKIRT 44117921383028,0.034,0.76,4.422e-07,2.9e-11,0.034,0.78,234.7468,37.8876,205.58,KIC,dr25,1.0,UKIRT,1.8e-05,37.8876,1733200.0,24269.0,291.5239,15.25,18.47
K03710.01,FAILED,,,,,,,,,0.0,,,,0.83,,,,,dr25,,,,,,,,,
K03711.01,PROB,UKIRT 44117916151219,1.0,0.0,1.237e-06,299.8451,3262.0,KIC 5653849,1.6e-103,1.0,4.705e-08,1.6e-103,0.044,0.63,152.7895,40.8453,111.04,UKIRT,dr25,0.0,KIC,2.874e-05,40.8458,589.0,26972.0,299.846,16.2,14.59
K03712.01,PROB,KIC 2437008,1.0,0.0025,3.953e-06,290.1965,2092343.0,KIC 2437060,0.00022,0.0,3.453e-07,0.00022,0.1,0.81,132.8479,37.777,3.19,KIC,dr25,0.0025,KIC,2.686e-05,37.7763,964035.0,107192.0,290.1995,18.19,16.99
K03713.01,FAILED,,,,,,,,,0.0,,,,0.68,,,,,dr25,,,,,,,,,
K03714.01,PROB,KIC 11564013,1.0,,9.065e-07,294.3191,135135.0,,0.0063,1.0,4.96e-09,,0.0063,0.86,132.9068,,1.75,KIC,dr25,1.0,,1.097e-05,49.5321,,3527.0,,15.21,
K03715.01,PROB,KIC 4937143,1.0,,1.132e-05,295.3388,161439.0,,8.9e-16,1.0,1.135e-19,,8.9e-16,0.73,135.9889,,9.85,KIC,dr25,1.0,,3.466e-05,40.0373,,21835.0,,16.35,
K03716.01,PROB,KIC 8719324,1.0,3.3e-101,4.926e-06,301.1143,1583.0,KIC 8719312,0.016,1.0,6.789e-08,4.6e-103,0.016,0.69,139.8521,44.8258,10.23,KIC,dr25,1.0,KIC,1.486e-05,44.8258,425890.0,493.0,301.1114,11.61,17.6
K03716.02,PROB,KIC 8719324,1.0,,7.264e-06,301.1143,25437.0,,0.029,1.0,1.846e-07,,0.029,0.69,139.5849,,10.23,KIC,dr25,1.0,,1.486e-05,44.8258,,1890.0,,11.61,
K03717.01,PROB,KIC 11241814,1.0,8.5e-51,4.778e-08,290.5829,20851.0,KIC 11241819,3.4e-16,1.0,4.78e-22,4.4e-66,3.4e-16,0.89,232.2421,48.9601,227.66,KIC,dr25,1.0,KIC,8.183e-06,48.9604,711545.0,13730.0,290.5843,14.98,18.68
K03718.01,MATCH,,,,,,,,0.0,1.0,,,,0.67,,,,,dr25,0.0,,,,,,,,
K03719.01,PROB,UKIRT 44117907714498,1.0,5.1e-08,0.001583,294.3192,1185972.0,KIC 9837083,1.3e-08,1.0,0.000136,1.3e-08,0.099,0.84,131.912,46.6196,0.62,UKIRT,dr25,5.1e-08,KIC,1.792e-05,46.6194,1122002.0,42817.0,294.3194,16.2,16.18
K03720.01,PROB,KIC 10735331,1.0,,2.235e-07,293.4906,34423.0,,0.0035,1.0,6.72e-10,,0.0035,0.86,274.2096,,213.4,KIC,dr25,1.0,,6.781e-06,48.0954,,13858.0,,13.38,
K03721.01,PROB,KIC 7763269,1.0,,2.658e-08,295.1549,76068.0,,1.3e-15,1.0,2.674e-22,,1.3e-15,0.79,134.0688,,6.41,KIC,dr25,1.0,,1.229e-05,43.4443,,7667.0,,14.08,
K03722.01,PROB,KIC 8365739,1.0,,9.317e-07,291.8875,196820.0,,0.0043,1.0,3.494e-09,,0.0043,0.85,132.0334,,2.39,KIC,dr25,1.0,,1.279e-05,44.3456,,20694.0,,15.37,
K03723.01,MATCH,KIC 5471606,0.0033,,0.9967,297.6997,121606.0,,0.00077,0.55,0.0007703,,0.00077,0.69,132.2228,,0.96,KIC,dr25,0.0033,,1.339e-05,40.6415,,1104.0,,10.82,
K03724.01,FAILED,,,,,,,,,0.0,,,,0.83,,,,,dr25,,,,,,,,,
K03725.01,PROB,KIC 3459199,1.0,,0.0001066,295.2029,11387.0,,0.037,0.0,3.442e-06,,0.037,0.71,132.3377,,1.57,KIC,dr25,1.0,,9.196e-06,38.5196,,2033.0,,10.05,
K03726.01,FAILED,,,,,,,,,0.0,,,,0.71,,,,,dr25,,,,,,,,,
K03727.01,FAILED,,,,,,,,,0.0,,,,0.84,,,,,dr25,,,,,,,,,
K03728.01,PROB,KIC 7515679,1.0,,3.734e-07,287.8072,15207.0,,0.0038,1.0,1.228e-09,,0.0038,0.88,133.5042,,5.55,KIC,dr25,1.0,,4.51e-06,43.1888,,1552.0,,12.25,
K03729.01,PROB,KIC 9674593,0.95,6.7e-79,0.04837,300.4129,1203603.0,KIC 9674592,1.1e-78,0.01,4.845e-16,1.1e-78,5.7e-16,0.73,136.1394,46.3807,6.87,KIC,dr25,6.7e-79,KIC,3.057e-05,46.3794,148190.0,8084.0,300.4129,16.83,15.93
K03729.02,PROB,KIC 9674593,0.96,3.2e-82,0.04244,300.4129,1313679.0,KIC 9674592,9.4e-82,0.01,4.249e-16,9.4e-82,5.1e-16,0.73,132.4566,46.3807,6.87,KIC,dr25,3.2e-82,KIC,3.057e-05,46.3794,172300.0,8946.0,300.4129,16.83,15.93
K03730.01,FAILED,,,,,,,,,0.0,,,,0.8,,,,,dr25,,,,,,,,,
K03731.01,PROB,KIC 5650314,0.078,,0.9224,299.1706,104768.0,,0.12,0.0,0.1086,,0.12,0.65,131.8281,,1.07,KIC,dr25,0.078,,4.431e-05,40.8711,,9879.0,,15.93,
K03732.01,PROB,KIC 8302302,0.0,,1.0,292.8058,324159.0,,9.6e-110,0.2,1.414e-14,,9.6e-110,0.83,132.3912,,1.14,KIC,dr25,0.0,,1.472e-05,44.236,,33200.0,,15.52,
K03733.01,FPWG,,,,,,,,0.0,1.0,,,,0.83,,,,,dr25,0.0,,,,,,,,
K03734.01,MATCH,,,,,,,,0.0,1.0,,,,0.86,,,,,dr25,0.0,,,,,,,,
K03735.01,FAILED,,,,,,,,,0.0,,,,0.76,,,,,dr25,,,,,,,,,
K03736.01,FAILED,,,,,,,,,0.0,,,,0.78,,,,,dr25,,,,,,,,,
K03737.01,PROB,KIC 6933781,1.0,1e-55,0.0002357,286.6973,7942.0,KIC 6933785,0.1,0.61,2.141e-05,2.6e-55,0.1,0.89,229.758,42.4483,130.42,KIC,dr25,1.0,KIC,3.561e-06,42.4512,2607815.0,2155.0,286.6984,11.24,17.4
K03738.01,FPWG,,,,,,,,0.0,1.0,,,,0.65,,,,,dr25,0.0,,,,,,,,
K03739.01,PROB,KIC 10857342,1.0,,3.987e-07,290.0115,294977.0,,4.2e-16,1.0,3.989e-21,,4.2e-16,0.89,133.6122,,2.42,KIC,dr25,1.0,,6.974e-06,48.2442,,102236.0,,14.47,
K03740.01,FAILED,,,,,,,,,0.0,,,,0.66,,,,,dr25,,,,,,,,,
K03741.01,MATCH,KIC 8780959,6.3e-96,,1.0,300.3324,32344.0,,9e-110,0.88,1.414e-14,,9e-110,0.71,132.3893,,2.62,KIC,dr25,6.3e-96,,1.575e-05,44.9861,,2751.0,,13.31,
K03741.02,PROB,KIC 8780959,1.0,,0.0007368,300.3324,13755.0,,0.059,0.67,3.737e-05,,0.059,0.71,141.8299,,18.58,KIC,dr25,1.0,,1.575e-05,44.9861,,240.0,,13.31,
K03741.03,PROB,KIC 8780959,1.0,,3.68e-05,300.3324,4167.0,,0.026,1.0,8.398e-07,,0.026,0.71,133.7598,,5.11,KIC,dr25,1.0,,1.575e-05,44.9861,,234.0,,13.31,
K03741.04,PROB,KIC 8780959,1.0,,8.069e-05,300.3324,4970.0,,0.018,0.99,1.279e-06,,0.018,0.71,132.737,,9.63,KIC,dr25,1.0,,1.575e-05,44.9861,,229.0,,13.31,
K03742.01,FAILED,,,,,,,,,0.0,,,,0.64,,,,,dr25,,,,,,,,,
K03743.01,FAILED,,,,,,,,,0.0,,,,0.74,,,,,dr25,,,,,,,,,
